project_name,file,size,analysis_status
FolicAcid_T3_10222024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/FolicAcid_T3_10222024_PS/FolicAcid_T3_10222024_PS/241028/M07896/AxonTracking/000007/data.raw.h5,15127715966,Not Started
FolicAcid_T3_10222024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/FolicAcid_T3_10222024_PS/FolicAcid_T3_10222024_PS/241028/M07896/AxonTracking/000008/data.raw.h5,287897606,Not Started
FolicAcid_T3_10222024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/FolicAcid_T3_10222024_PS/FolicAcid_T3_10222024_PS/241030/M07896/AxonTracking/000018/data.raw.h5,15412819503,Not Started
FolicAcid_T3_10222024_PS,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/FolicAcid_T3_10222024_PS/FolicAcid_T3_10222024_PS/241030/M07896/AxonTracking/000019/data.raw.h5,321644546,Not Started
