project_name,file,size,analysis_status
Organoids,/mnt/disk20tb/Organoids/Organoids_Mandeep_Fink_Lab/Organoids/221110/16865_/AxonTracking/000010/data.raw.h5,651303264,Not Started
Organoids,/mnt/disk20tb/Organoids/Organoids_Mandeep_Fink_Lab/Organoids/221110/16784/AxonTracking/000018/data.raw.h5,58305156,Not Started
