project_name,file,size,analysis_status
B6J_Stimulations_07102024_Xi_M_Christina_J_Xula,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_Stimulations_07102024_Xi_M_Christina_J_Xula/B6J_Stimulations_07102024_Xi_M_Christina_J_Xula/240718/M08020/AxonTracking/000011/data.raw.h5,543337,Not Started
B6J_Stimulations_07102024_Xi_M_Christina_J_Xula,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_Stimulations_07102024_Xi_M_Christina_J_Xula/B6J_Stimulations_07102024_Xi_M_Christina_J_Xula/240718/M08020/AxonTracking/000012/data.raw.h5,4695723955,Not Started
B6J_Stimulations_07102024_Xi_M_Christina_J_Xula,/mnt/disk20tb/HBCU_Program/B6J_Stimulations_07102024_Xi_M_Christina_J_Xula/B6J_Stimulations_07102024_Xi_M_Christina_J_Xula/240718/M08020/AxonTracking/000012/data.raw.h5,4695723955,Not Started
B6J_Stimulations_07102024_Xi_M_Christina_J_Xula,/mnt/disk20tb/HBCU_Program/B6J_Stimulations_07102024_Xi_M_Christina_J_Xula/B6J_Stimulations_07102024_Xi_M_Christina_J_Xula/240718/M08020/AxonTracking/000011/data.raw.h5,543337,Not Started
