project_name,file,size,analysis_status
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240507/M08034/AxonTracking/000094/data.raw.h5,23897765260,Not Started
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240423/M08034/AxonTracking/000043/data.raw.h5,14754691683,Not Started
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240419/M08034/AxonTracking/000031/data.raw.h5,18000250908,Not Started
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240503/M08034/AxonTracking/000082/data.raw.h5,27127693817,Not Started
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240416/M08034/AxonTracking/000015/data.raw.h5,16940927115,Not Started
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240430/M08034/AxonTracking/000067/data.raw.h5,29758355893,Not Started
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240426/M08034/AxonTracking/000055/data.raw.h5,19443957906,Not Started
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240510/M08034/AxonTracking/000106/data.raw.h5,22977190793,Not Started
KCNT1_T4_C1,/mnt/disk20tb/PrimaryNeuronData/Maxtwo/KCNT1_T4_C1/KCNT1_T4_C1/240514/M08034/AxonTracking/000120/data.raw.h5,12880356221,Not Started
