unit_id,analytics_channels_in_template,analytics_template_rect_area,analytics_template_density,analytics_axon_length,analytics_num_branches,analytics_branch_lengths,analytics_branch_channel_density,analytics_branch_orders,analytics_maximum_branch_order,analytics_velocities
583,13825,7871850.0,0.0017562580587790672,766.6425441806728,8,"[766.6425441806728, 322.5171824741603, 331.3620921609902, 637.7004008723142, 407.0146571572186, 476.5835457605924, 542.8834675509722, 386.2436867076458]","[42.59125245448182, 46.073883210594325, 55.22701536016503, 39.856275054519635, 40.70146571572186, 39.71529548004937, 38.77739053935516, 55.17766952966368]","{0: 3, 1: 2, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1}",3,"{0: 351.33122748311547, 1: 996.5957203277062, 2: 291.68509172976854, 3: 207.0092381216797, 4: 428.51155190119675, 5: 81.57461716912182, 6: 97.86290573546349, 7: 79.7527353369462}"
563,13825,7871850.0,0.0017562580587790672,330.18578402603174,5,"[330.18578402603174, 216.27349576651443, 465.10914852863476, 381.19974039841543, 768.8521412293006]","[33.018578402603175, 36.0455826277524, 42.282649866239524, 38.119974039841544, 69.89564920266369]","{0: 1, 1: 1, 2: 1, 3: 1, 4: 2}",2,"{0: 603.2175281961582, 1: 22.986961001690492, 2: 966.5273131595135, 3: 545.1716248084118, 4: 454.1431110334456}"
403,7589,7871850.0,0.0009640681669493194,877.0381755172497,1,[877.0381755172497],[79.73074322884088],{0: 0},0,{0: 302.6337809364409}
600,13825,7871850.0,0.0017562580587790672,467.26930285069267,4,"[467.26930285069267, 151.72581160992445, 402.68321839815394, 364.54517992688216]","[38.93910857089106, 30.34516232198489, 50.33540229976924, 60.75752998781369]","{0: 1, 1: 1, 2: 1, 3: 1}",1,"{0: 67.89398988067228, 1: 118.72749515455224, 2: 253.35589358554535, 3: 31.178140790202516}"
519,13825,7871850.0,0.0017562580587790672,328.3814146066957,1,[328.3814146066957],[65.67628292133915],{0: 1},1,{0: 27.47690347690441}
514,13825,7871850.0,0.0017562580587790672,384.52984898220984,3,"[384.52984898220984, 298.0732869246322, 444.3588249791876]","[34.95725899838271, 29.807328692463223, 37.02990208159897]","{0: 1, 1: 1, 2: 2}",2,"{0: 60.35258474691383, 1: 269.92375503017854, 2: 77.8169791632347}"
612,7604,7871850.0,0.000965973691063727,202.58859639447581,1,[202.58859639447581],[40.517719278895164],{0: 0},0,{0: 78.6880351556881}
301,4666,7871850.0,0.0005927450345217452,483.73756792194183,1,[483.73756792194183],[96.74751358438837],{0: 0},0,{0: 616.4498190044716}
58,5756,7871850.0,0.0007312131201687024,398.48076824970764,2,"[398.48076824970764, 641.4431243285098]","[79.69615364994152, 106.90718738808498]","{0: 1, 1: 1}",1,"{0: 121.96278697070707, 1: 146.66272417802483}"
94,2462,7871850.0,0.00031276002464477855,455.757599912859,3,"[455.757599912859, 407.43153859785014, 907.3087366676199]","[91.1515199825718, 81.48630771957002, 113.41359208345249]","{0: 1, 1: 1, 2: 1}",1,"{0: 63.150801916231295, 1: 30.13391578366636, 2: 95.73859152860031}"
506,7957,7871850.0,0.0010108170252227876,332.9986003820493,1,[332.9986003820493],[55.49976673034155],{0: 1},1,{0: 34.73802130983913}
541,6504,7871850.0,0.0008262352560071647,436.15920693410817,2,"[436.15920693410817, 694.1315544754672]","[72.69320115568469, 138.82631089509343]","{0: 1, 1: 1}",1,"{0: 153.81055907251306, 1: 226.65295881270143}"
153,13825,7871850.0,0.0017562580587790672,296.6227500886621,1,[296.6227500886621],[59.32455001773242],{0: 1},1,{0: 149.02525323391237}
593,13825,7871850.0,0.0017562580587790672,256.72581160992445,1,[256.72581160992445],[42.78763526832074],{0: 1},1,{0: 28.45248941432901}
279,13825,7871850.0,0.0017562580587790672,229.9881908224171,5,"[229.9881908224171, 204.89356881873897, 253.06055925441757, 197.25150067887563, 411.80624972680937]","[32.855455831773874, 25.61169610234237, 50.612111850883515, 39.45030013577512, 45.75624996964549]","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",1,"{0: 87.01197255476225, 1: 148.3652896823024, 2: 49.31195666659769, 3: 23.005710272608738, 4: 52.37694138177343}"
115,9057,7871850.0,0.0011505554602793497,457.1860932548867,2,"[457.1860932548867, 519.4249912130232]","[91.43721865097734, 86.5708318688372]","{0: 1, 1: 1}",1,"{0: 638.2810339629955, 1: 622.9202407192913}"
18,3938,7871850.0,0.000500263597502493,563.2811912160687,1,[563.2811912160687],[93.88019853601145],{0: 0},0,{0: 271.5211660062518}
470,4677,7871850.0,0.0005941424188723108,749.8719134202316,2,"[749.8719134202316, 241.62641030661268]","[124.97865223670527, 48.32528206132254]","{0: 2, 1: 2}",2,"{0: 1035.7657043338697, 1: -33.452675863673825}"
76,10151,7871850.0,0.001289531685690149,942.2629349856447,1,[942.2629349856447],[104.69588166507164],{0: 1},1,{0: 308.50952390659404}
587,13825,7871850.0,0.0017562580587790672,307.31090771213957,4,"[307.31090771213957, 398.5222331080436, 164.47104865919295, 373.201364830125]","[43.901558244591364, 39.85222331080436, 27.411841443198824, 41.46681831445833]","{0: 2, 1: 2, 2: 1, 3: 1}",2,"{0: 237.39992021106622, 1: 482.59673608286283, 2: 490.63921465087793, 3: 726.7947160114857}"
549,13825,7871850.0,0.0017562580587790672,393.0997129484976,4,"[393.0997129484976, 843.3063636101085, 331.5247584249853, 236.61335481946108]","[32.7583094123748, 60.23616882929347, 36.83608426944281, 47.322670963892215]","{0: 1, 1: 1, 2: 2, 3: 1}",2,"{0: 480.7856482607701, 1: 151.94285735821876, 2: 585.4248025269249, 3: 45.41124025476164}"
553,13825,7871850.0,0.0017562580587790672,361.64837208040655,2,"[361.64837208040655, 334.64230616026816]","[32.87712473458242, 33.46423061602682]","{0: 1, 1: 1}",1,"{0: 415.804848305332, 1: 520.3350125124377}"
122,4294,7871850.0,0.000545488036484435,443.9005604728966,1,[443.9005604728966],[88.78011209457932],{0: 0},0,{0: 122.8607389026695}
2,11990,7871850.0,0.001523148942116529,277.04791726704804,1,[277.04791726704804],[34.630989658381004],{0: 2},2,{0: 43.202258798786296}
603,13825,7871850.0,0.0017562580587790672,250.09718763155595,1,[250.09718763155595],[31.262148453944494],{0: 1},1,{0: 30.54078811773495}
568,7223,7871850.0,0.0009175733785577723,838.78140838734,1,[838.78140838734],[119.82591548390572],{0: 0},0,{0: 409.00289653999425}
340,1005,7835406.25,0.0001282639301567803,414.2452692700232,3,"[414.2452692700232, 840.8060970740684, 324.9884150025114]","[82.84905385400464, 168.16121941481367, 64.99768300050228]","{0: 0, 1: 1, 2: 1}",1,"{0: 79.96520597802181, 1: 405.2405911070595, 2: 125.89418927081958}"
627,13089,7871850.0,0.001662760342232131,520.2406987879409,2,"[520.2406987879409, 1098.520986122178]","[65.03008734849261, 68.65756163263613]","{0: 1, 1: 1}",1,"{0: 52.20866196468846, 1: 156.78065326406963}"
60,10888,7871850.0,0.001383156437178046,157.5,1,[157.5],[31.5],{0: 1},1,{0: -21.178343949044596}
217,5018,7871850.0,0.0006374613337398452,425.9691476206684,1,[425.9691476206684],[70.99485793677808],{0: 0},0,{0: 253.45294897595468}
300,3204,7871850.0,0.00040701995083747787,457.3700441675364,4,"[457.3700441675364, 489.99328315192867, 439.2328414878737, 566.217936516098]","[91.47400883350727, 97.99865663038574, 87.84656829757475, 70.77724206451225]","{0: 2, 1: 1, 2: 1, 3: 1}",2,"{0: -53.553498166831396, 1: 77.65073763310181, 2: 27.017430925301436, 3: 74.9259908806013}"
551,6130,7871850.0,0.0007787241880879336,496.7335854398791,2,"[496.7335854398791, 650.3708409662639]","[82.78893090664651, 130.07416819325277]","{0: 1, 1: 1}",1,"{0: 160.9912552923645, 1: 155.91991681216265}"
346,13825,7871850.0,0.0017562580587790672,601.0155418112116,2,"[601.0155418112116, 227.17466747200993]","[60.10155418112116, 37.862444578668324]","{0: 1, 1: 1}",1,"{0: 52.00142020483597, 1: 13.280376533623885}"
272,6148,7871850.0,0.0007810108170252228,360.7144203172766,2,"[360.7144203172766, 498.9973187186947]","[72.14288406345533, 99.79946374373894]","{0: 1, 1: 1}",1,"{0: 119.61561475622715, 1: 359.9159693475486}"
628,13825,7871850.0,0.0017562580587790672,200.44050666582712,4,"[200.44050666582712, 496.12287179056034, 393.32975778517994, 235.6743186944831]","[40.088101333165426, 70.87469597008005, 65.55495963086332, 47.13486373889662]","{0: 2, 1: 1, 2: 1, 3: 1}",2,"{0: -37.617936395754604, 1: 50.72745249542308, 2: 29.150496642725606, 3: -47.26226020584476}"
